SOE_18,COMNAME,Fed_Managed
Other,RED HIND,NA
Other,RED HOGFISH,NA
Other,RED LIZARDFISH,NA
Other,RED PORGY,NA
Other,RED SNAPPER,NA
Other,REDEYE GAPER,NA
Other,"REDFISH,GOLDEN",NA
Other,REEF BUTTERFLYFISH,NA
Other,REEF SHARK,NA
Other,REMORA,NA
Other,REQUIEM SHARK UNCL,NA
Other,RIBBONFISHES,NA
Other,RIDGED SLIPPER LOBSTER,NA
Other,RIGHTEYE FLOUNDER UNCL,NA
Other,ROCK BEAUTY,NA
Other,ROCK GUNNEL,NA
Other,ROCK HIND,NA
Other,ROCK SEA BASS,NA
Other,ROCKWEED,NA
Benthivore,ROSETTE SKATE,NEFMC
Other,ROUGH SAGRE,NA
Other,ROUGH SCAD,NA
Other,ROUGH SILVERSIDE,NA
Other,ROUGHBACK BATFISH,NA
Other,ROUGHHEAD GRENADIER,NA
Other,ROUGHTAIL STINGRAY,NA
Other,ROUGHTONGUE BASS,NA
Other,ROUND HERRING,NA
Other,ROUND SCAD,NA
Other,ROUNDEL SKATE,NA
Other,ROYAL RED SHRIMP,NA
Other,RUPPELL'S ABRALIA,NA
Other,SADDLE BASS,NA
Other,SAILFIN EEL,NA
Other,SAILFISH,NA
Other,"SALMON,COHO,AQUACULTURE",NA
Other,"SALMON,KING,AQUACULTURE",NA
Other,"SALMON,PACIFIC,PINK",NA
Other,"SALMON,UNCLASSIFIED",NA
Other,SAND DIVER,NA
Other,SAND DOLLAR UNCL,NA
Other,SAND PERCH,NA
Other,SAND SEATROUT,NA
Other,SAND TIGER,NA
Other,SAND TILEFISH,NA
Other,SAND WHIFF,NA
Other,SANDBAR SHARK,NA
Other,SANDDABS,NA
Other,SANDWORMS,NA
Other,SARGASSUMFISH,NA
Other,SAUCEREYE PORGY,NA
Other,SCALED SARDINE,NA
Other,"SCALLOP,UNC",NA
Other,SCALLOPED HAMMERHEAD SHARK,NA
Other,SCALY DRAGONFISH UNCL,NA
Other,SCAMP,NA
Other,SCARLET GAMBA SHRIMP,NA
Other,SCHOOL BASS,NA
Other,SCHOOLMASTER,NA
